"Statistic Label","Daily","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"Debit Card Transactions - ATM Withdrawals","2020 March 01","Daily total","Number","267074"
"Debit Card Transactions - ATM Withdrawals","2020 March 02","Daily total","Number","296444"
"Debit Card Transactions - ATM Withdrawals","2020 March 03","Daily total","Number","363225"
"Debit Card Transactions - ATM Withdrawals","2020 March 04","Daily total","Number","348504"
"Debit Card Transactions - ATM Withdrawals","2020 March 05","Daily total","Number","453870"
"Debit Card Transactions - ATM Withdrawals","2020 March 06","Daily total","Number","537777"
"Debit Card Transactions - ATM Withdrawals","2020 March 07","Daily total","Number","402614"
"Debit Card Transactions - ATM Withdrawals","2020 March 08","Daily total","Number","247856"
"Debit Card Transactions - ATM Withdrawals","2020 March 09","Daily total","Number","262064"
"Debit Card Transactions - ATM Withdrawals","2020 March 10","Daily total","Number","327077"
"Debit Card Transactions - ATM Withdrawals","2020 March 11","Daily total","Number","315418"
"Debit Card Transactions - ATM Withdrawals","2020 March 12","Daily total","Number","430215"
"Debit Card Transactions - ATM Withdrawals","2020 March 13","Daily total","Number","460929"
"Debit Card Transactions - ATM Withdrawals","2020 March 14","Daily total","Number","290346"
"Debit Card Transactions - ATM Withdrawals","2020 March 15","Daily total","Number","169439"
"Debit Card Transactions - ATM Withdrawals","2020 March 16","Daily total","Number","204405"
"Debit Card Transactions - ATM Withdrawals","2020 March 17","Daily total","Number","121376"
"Debit Card Transactions - ATM Withdrawals","2020 March 18","Daily total","Number","191456"
"Debit Card Transactions - ATM Withdrawals","2020 March 19","Daily total","Number","241175"
"Debit Card Transactions - ATM Withdrawals","2020 March 20","Daily total","Number","277393"
"Debit Card Transactions - ATM Withdrawals","2020 March 21","Daily total","Number","185266"
"Debit Card Transactions - ATM Withdrawals","2020 March 22","Daily total","Number","110228"
"Debit Card Transactions - ATM Withdrawals","2020 March 23","Daily total","Number","134513"
"Debit Card Transactions - ATM Withdrawals","2020 March 24","Daily total","Number","156102"
"Debit Card Transactions - ATM Withdrawals","2020 March 25","Daily total","Number","151331"
"Debit Card Transactions - ATM Withdrawals","2020 March 26","Daily total","Number","211070"
"Debit Card Transactions - ATM Withdrawals","2020 March 27","Daily total","Number","253851"
"Debit Card Transactions - ATM Withdrawals","2020 March 28","Daily total","Number","126734"
"Debit Card Transactions - ATM Withdrawals","2020 March 29","Daily total","Number","69000"
"Debit Card Transactions - ATM Withdrawals","2020 March 30","Daily total","Number","98154"
"Debit Card Transactions - ATM Withdrawals","2020 March 31","Daily total","Number","132240"
"Debit Card Transactions - ATM Withdrawals","2020 April 01","Daily total","Number","121601"
"Debit Card Transactions - ATM Withdrawals","2020 April 02","Daily total","Number","174925"
"Debit Card Transactions - ATM Withdrawals","2020 April 03","Daily total","Number","193547"
"Debit Card Transactions - ATM Withdrawals","2020 April 04","Daily total","Number","122236"
"Debit Card Transactions - ATM Withdrawals","2020 April 05","Daily total","Number","71669"
"Debit Card Transactions - ATM Withdrawals","2020 April 06","Daily total","Number","105248"
"Debit Card Transactions - ATM Withdrawals","2020 April 07","Daily total","Number","171846"
"Debit Card Transactions - ATM Withdrawals","2020 April 08","Daily total","Number","146020"
"Debit Card Transactions - ATM Withdrawals","2020 April 09","Daily total","Number","200279"
"Debit Card Transactions - ATM Withdrawals","2020 April 10","Daily total","Number","178218"
"Debit Card Transactions - ATM Withdrawals","2020 April 11","Daily total","Number","131019"
"Debit Card Transactions - ATM Withdrawals","2020 April 12","Daily total","Number","60910"
"Debit Card Transactions - ATM Withdrawals","2020 April 13","Daily total","Number","82330"
"Debit Card Transactions - ATM Withdrawals","2020 April 14","Daily total","Number","132434"
"Debit Card Transactions - ATM Withdrawals","2020 April 15","Daily total","Number","142305"
"Debit Card Transactions - ATM Withdrawals","2020 April 16","Daily total","Number","184107"
"Debit Card Transactions - ATM Withdrawals","2020 April 17","Daily total","Number","198682"
"Debit Card Transactions - ATM Withdrawals","2020 April 18","Daily total","Number","130770"
"Debit Card Transactions - ATM Withdrawals","2020 April 19","Daily total","Number","78518"
"Debit Card Transactions - ATM Withdrawals","2020 April 20","Daily total","Number","110332"
"Debit Card Transactions - ATM Withdrawals","2020 April 21","Daily total","Number","166265"
"Debit Card Transactions - ATM Withdrawals","2020 April 22","Daily total","Number","154742"
"Debit Card Transactions - ATM Withdrawals","2020 April 23","Daily total","Number","194251"
"Debit Card Transactions - ATM Withdrawals","2020 April 24","Daily total","Number","222593"
"Debit Card Transactions - ATM Withdrawals","2020 April 25","Daily total","Number","144756"
"Debit Card Transactions - ATM Withdrawals","2020 April 26","Daily total","Number","87413"
"Debit Card Transactions - ATM Withdrawals","2020 April 27","Daily total","Number","122847"
"Debit Card Transactions - ATM Withdrawals","2020 April 28","Daily total","Number","178461"
"Debit Card Transactions - ATM Withdrawals","2020 April 29","Daily total","Number","148471"
"Debit Card Transactions - ATM Withdrawals","2020 April 30","Daily total","Number","221267"
"Debit Card Transactions - ATM Withdrawals","2020 May 01","Daily total","Number","218189"
"Debit Card Transactions - ATM Withdrawals","2020 May 02","Daily total","Number","147821"
"Debit Card Transactions - ATM Withdrawals","2020 May 03","Daily total","Number","88431"
"Debit Card Transactions - ATM Withdrawals","2020 May 04","Daily total","Number","97297"
"Debit Card Transactions - ATM Withdrawals","2020 May 05","Daily total","Number","195087"
"Debit Card Transactions - ATM Withdrawals","2020 May 06","Daily total","Number","182991"
"Debit Card Transactions - ATM Withdrawals","2020 May 07","Daily total","Number","210187"
"Debit Card Transactions - ATM Withdrawals","2020 May 08","Daily total","Number","234760"
"Debit Card Transactions - ATM Withdrawals","2020 May 09","Daily total","Number","150983"
"Debit Card Transactions - ATM Withdrawals","2020 May 10","Daily total","Number","95681"
"Debit Card Transactions - ATM Withdrawals","2020 May 11","Daily total","Number","128100"
"Debit Card Transactions - ATM Withdrawals","2020 May 12","Daily total","Number","184196"
"Debit Card Transactions - ATM Withdrawals","2020 May 13","Daily total","Number","156365"
"Debit Card Transactions - ATM Withdrawals","2020 May 14","Daily total","Number","209927"
"Debit Card Transactions - ATM Withdrawals","2020 May 15","Daily total","Number","230856"
"Debit Card Transactions - ATM Withdrawals","2020 May 16","Daily total","Number","159643"
"Debit Card Transactions - ATM Withdrawals","2020 May 17","Daily total","Number","101823"
"Debit Card Transactions - ATM Withdrawals","2020 May 18","Daily total","Number","135300"
"Debit Card Transactions - ATM Withdrawals","2020 May 19","Daily total","Number","196976"
"Debit Card Transactions - ATM Withdrawals","2020 May 20","Daily total","Number","183298"
"Debit Card Transactions - ATM Withdrawals","2020 May 21","Daily total","Number","224249"
