"Statistic Label","Daily","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"Debit Card Transactions - ATM Withdrawals","2020 May 22","Daily total","Number","250982"
"Debit Card Transactions - ATM Withdrawals","2020 May 23","Daily total","Number","178763"
"Debit Card Transactions - ATM Withdrawals","2020 May 24","Daily total","Number","111687"
"Debit Card Transactions - ATM Withdrawals","2020 May 25","Daily total","Number","142548"
"Debit Card Transactions - ATM Withdrawals","2020 May 26","Daily total","Number","201513"
"Debit Card Transactions - ATM Withdrawals","2020 May 27","Daily total","Number","176428"
"Debit Card Transactions - ATM Withdrawals","2020 May 28","Daily total","Number","239741"
"Debit Card Transactions - ATM Withdrawals","2020 May 29","Daily total","Number","276024"
"Debit Card Transactions - ATM Withdrawals","2020 May 30","Daily total","Number","188107"
"Debit Card Transactions - ATM Withdrawals","2020 May 31","Daily total","Number","117108"
"Debit Card Transactions - ATM Withdrawals","2020 June 01","Daily total","Number","125630"
"Debit Card Transactions - ATM Withdrawals","2020 June 02","Daily total","Number","214979"
"Debit Card Transactions - ATM Withdrawals","2020 June 03","Daily total","Number","212222"
"Debit Card Transactions - ATM Withdrawals","2020 June 04","Daily total","Number","244701"
"Debit Card Transactions - ATM Withdrawals","2020 June 05","Daily total","Number","277388"
"Debit Card Transactions - ATM Withdrawals","2020 June 06","Daily total","Number","191306"
"Debit Card Transactions - ATM Withdrawals","2020 June 07","Daily total","Number","121524"
"Debit Card Transactions - ATM Withdrawals","2020 June 08","Daily total","Number","160168"
"Debit Card Transactions - ATM Withdrawals","2020 June 09","Daily total","Number","211760"
"Debit Card Transactions - ATM Withdrawals","2020 June 10","Daily total","Number","185853"
"Debit Card Transactions - ATM Withdrawals","2020 June 11","Daily total","Number","242951"
"Debit Card Transactions - ATM Withdrawals","2020 June 12","Daily total","Number","276170"
"Debit Card Transactions - ATM Withdrawals","2020 June 13","Daily total","Number","204108"
"Debit Card Transactions - ATM Withdrawals","2020 June 14","Daily total","Number","125733"
"Debit Card Transactions - ATM Withdrawals","2020 June 15","Daily total","Number","162470"
"Debit Card Transactions - ATM Withdrawals","2020 June 16","Daily total","Number","221871"
"Debit Card Transactions - ATM Withdrawals","2020 June 17","Daily total","Number","207967"
"Debit Card Transactions - ATM Withdrawals","2020 June 18","Daily total","Number","253214"
"Debit Card Transactions - ATM Withdrawals","2020 June 19","Daily total","Number","297599"
"Debit Card Transactions - ATM Withdrawals","2020 June 20","Daily total","Number","215218"
"Debit Card Transactions - ATM Withdrawals","2020 June 21","Daily total","Number","137342"
"Debit Card Transactions - ATM Withdrawals","2020 June 22","Daily total","Number","152926"
"Debit Card Transactions - ATM Withdrawals","2020 June 23","Daily total","Number","212546"
"Debit Card Transactions - ATM Withdrawals","2020 June 24","Daily total","Number","194593"
"Debit Card Transactions - ATM Withdrawals","2020 June 25","Daily total","Number","262700"
"Debit Card Transactions - ATM Withdrawals","2020 June 26","Daily total","Number","304335"
"Debit Card Transactions - ATM Withdrawals","2020 June 27","Daily total","Number","216075"
"Debit Card Transactions - ATM Withdrawals","2020 June 28","Daily total","Number","135981"
"Debit Card Transactions - ATM Withdrawals","2020 June 29","Daily total","Number","205358"
"Debit Card Transactions - ATM Withdrawals","2020 June 30","Daily total","Number","267333"
"Debit Card Transactions - ATM Withdrawals","2020 July 01","Daily total","Number","251384"
"Debit Card Transactions - ATM Withdrawals","2020 July 02","Daily total","Number","304674"
"Debit Card Transactions - ATM Withdrawals","2020 July 03","Daily total","Number","339944"
"Debit Card Transactions - ATM Withdrawals","2020 July 04","Daily total","Number","257368"
"Debit Card Transactions - ATM Withdrawals","2020 July 05","Daily total","Number","153030"
"Debit Card Transactions - ATM Withdrawals","2020 July 06","Daily total","Number","190938"
"Debit Card Transactions - ATM Withdrawals","2020 July 07","Daily total","Number","254287"
"Debit Card Transactions - ATM Withdrawals","2020 July 08","Daily total","Number","223223"
"Debit Card Transactions - ATM Withdrawals","2020 July 09","Daily total","Number","299809"
"Debit Card Transactions - ATM Withdrawals","2020 July 10","Daily total","Number","334589"
"Debit Card Transactions - ATM Withdrawals","2020 July 11","Daily total","Number","257792"
"Debit Card Transactions - ATM Withdrawals","2020 July 12","Daily total","Number","158671"
"Debit Card Transactions - ATM Withdrawals","2020 July 13","Daily total","Number","192399"
"Debit Card Transactions - ATM Withdrawals","2020 July 14","Daily total","Number","239988"
"Debit Card Transactions - ATM Withdrawals","2020 July 15","Daily total","Number","242618"
"Debit Card Transactions - ATM Withdrawals","2020 July 16","Daily total","Number","297347"
"Debit Card Transactions - ATM Withdrawals","2020 July 17","Daily total","Number","342311"
"Debit Card Transactions - ATM Withdrawals","2020 July 18","Daily total","Number","258516"
"Debit Card Transactions - ATM Withdrawals","2020 July 19","Daily total","Number","159958"
"Debit Card Transactions - ATM Withdrawals","2020 July 20","Daily total","Number","190334"
"Debit Card Transactions - ATM Withdrawals","2020 July 21","Daily total","Number","244131"
"Debit Card Transactions - ATM Withdrawals","2020 July 22","Daily total","Number","224461"
"Debit Card Transactions - ATM Withdrawals","2020 July 23","Daily total","Number","300691"
"Debit Card Transactions - ATM Withdrawals","2020 July 24","Daily total","Number","337291"
"Debit Card Transactions - ATM Withdrawals","2020 July 25","Daily total","Number","262928"
"Debit Card Transactions - ATM Withdrawals","2020 July 26","Daily total","Number","165053"
"Debit Card Transactions - ATM Withdrawals","2020 July 27","Daily total","Number","197450"
"Debit Card Transactions - ATM Withdrawals","2020 July 28","Daily total","Number","254409"
"Debit Card Transactions - ATM Withdrawals","2020 July 29","Daily total","Number","248494"
"Debit Card Transactions - ATM Withdrawals","2020 July 30","Daily total","Number","321264"
"Debit Card Transactions - ATM Withdrawals","2020 July 31","Daily total","Number","371981"
"Debit Card Transactions - ATM Withdrawals","2020 August 01","Daily total","Number","274270"
"Debit Card Transactions - ATM Withdrawals","2020 August 02","Daily total","Number","172840"
"Debit Card Transactions - ATM Withdrawals","2020 August 03","Daily total","Number","167533"
"Debit Card Transactions - ATM Withdrawals","2020 August 04","Daily total","Number","250369"
"Debit Card Transactions - ATM Withdrawals","2020 August 05","Daily total","Number","246040"
"Debit Card Transactions - ATM Withdrawals","2020 August 06","Daily total","Number","304876"
"Debit Card Transactions - ATM Withdrawals","2020 August 07","Daily total","Number","343139"
"Debit Card Transactions - ATM Withdrawals","2020 August 08","Daily total","Number","256551"
"Debit Card Transactions - ATM Withdrawals","2020 August 09","Daily total","Number","161393"
"Debit Card Transactions - ATM Withdrawals","2020 August 10","Daily total","Number","193351"
"Debit Card Transactions - ATM Withdrawals","2020 August 11","Daily total","Number","238920"
"Debit Card Transactions - ATM Withdrawals","2020 August 12","Daily total","Number","237585"
"Debit Card Transactions - ATM Withdrawals","2020 August 13","Daily total","Number","300178"
"Debit Card Transactions - ATM Withdrawals","2020 August 14","Daily total","Number","355410"
"Debit Card Transactions - ATM Withdrawals","2020 August 15","Daily total","Number","264494"
"Debit Card Transactions - ATM Withdrawals","2020 August 16","Daily total","Number","161651"
"Debit Card Transactions - ATM Withdrawals","2020 August 17","Daily total","Number","184003"
"Debit Card Transactions - ATM Withdrawals","2020 August 18","Daily total","Number","243060"
"Debit Card Transactions - ATM Withdrawals","2020 August 19","Daily total","Number","211180"
"Debit Card Transactions - ATM Withdrawals","2020 August 20","Daily total","Number","284308"
"Debit Card Transactions - ATM Withdrawals","2020 August 21","Daily total","Number","342343"
"Debit Card Transactions - ATM Withdrawals","2020 August 22","Daily total","Number","263724"
"Debit Card Transactions - ATM Withdrawals","2020 August 23","Daily total","Number","162589"
"Debit Card Transactions - ATM Withdrawals","2020 August 24","Daily total","Number","191248"
"Debit Card Transactions - ATM Withdrawals","2020 August 25","Daily total","Number","224876"
"Debit Card Transactions - ATM Withdrawals","2020 August 26","Daily total","Number","249791"
"Debit Card Transactions - ATM Withdrawals","2020 August 27","Daily total","Number","307621"
"Debit Card Transactions - ATM Withdrawals","2020 August 28","Daily total","Number","375225"
"Debit Card Transactions - ATM Withdrawals","2020 August 29","Daily total","Number","286016"
"Debit Card Transactions - ATM Withdrawals","2020 August 30","Daily total","Number","175879"
"Debit Card Transactions - ATM Withdrawals","2020 August 31","Daily total","Number","210375"
"Debit Card Transactions - ATM Withdrawals","2020 September 01","Daily total","Number","274183"
"Debit Card Transactions - ATM Withdrawals","2020 September 02","Daily total","Number","227372"
"Debit Card Transactions - ATM Withdrawals","2020 September 03","Daily total","Number","307923"
"Debit Card Transactions - ATM Withdrawals","2020 September 04","Daily total","Number","356738"
"Debit Card Transactions - ATM Withdrawals","2020 September 05","Daily total","Number","276438"
"Debit Card Transactions - ATM Withdrawals","2020 September 06","Daily total","Number","168777"
"Debit Card Transactions - ATM Withdrawals","2020 September 07","Daily total","Number","194393"
"Debit Card Transactions - ATM Withdrawals","2020 September 08","Daily total","Number","236271"
"Debit Card Transactions - ATM Withdrawals","2020 September 09","Daily total","Number","236619"
"Debit Card Transactions - ATM Withdrawals","2020 September 10","Daily total","Number","309507"
"Debit Card Transactions - ATM Withdrawals","2020 September 11","Daily total","Number","365892"
"Debit Card Transactions - ATM Withdrawals","2020 September 12","Daily total","Number","282856"
"Debit Card Transactions - ATM Withdrawals","2020 September 13","Daily total","Number","168445"
"Debit Card Transactions - ATM Withdrawals","2020 September 14","Daily total","Number","189452"
"Debit Card Transactions - ATM Withdrawals","2020 September 15","Daily total","Number","237389"
"Debit Card Transactions - ATM Withdrawals","2020 September 16","Daily total","Number","223737"
"Debit Card Transactions - ATM Withdrawals","2020 September 17","Daily total","Number","307839"
"Debit Card Transactions - ATM Withdrawals","2020 September 18","Daily total","Number","362938"
"Debit Card Transactions - ATM Withdrawals","2020 September 19","Daily total","Number","275236"
"Debit Card Transactions - ATM Withdrawals","2020 September 20","Daily total","Number","164037"
"Debit Card Transactions - ATM Withdrawals","2020 September 21","Daily total","Number","192772"
"Debit Card Transactions - ATM Withdrawals","2020 September 22","Daily total","Number","227672"
"Debit Card Transactions - ATM Withdrawals","2020 September 23","Daily total","Number","238081"
"Debit Card Transactions - ATM Withdrawals","2020 September 24","Daily total","Number","307511"
"Debit Card Transactions - ATM Withdrawals","2020 September 25","Daily total","Number","386645"
"Debit Card Transactions - ATM Withdrawals","2020 September 26","Daily total","Number","289441"
"Debit Card Transactions - ATM Withdrawals","2020 September 27","Daily total","Number","171098"
"Debit Card Transactions - ATM Withdrawals","2020 September 28","Daily total","Number","197733"
"Debit Card Transactions - ATM Withdrawals","2020 September 29","Daily total","Number","240327"
"Debit Card Transactions - ATM Withdrawals","2020 September 30","Daily total","Number","230886"
"Debit Card Transactions - ATM Withdrawals","2020 October 01","Daily total","Number","318019"
"Debit Card Transactions - ATM Withdrawals","2020 October 02","Daily total","Number","364492"
"Debit Card Transactions - ATM Withdrawals","2020 October 03","Daily total","Number","277716"
"Debit Card Transactions - ATM Withdrawals","2020 October 04","Daily total","Number","147331"
"Debit Card Transactions - ATM Withdrawals","2020 October 05","Daily total","Number","193099"
"Debit Card Transactions - ATM Withdrawals","2020 October 06","Daily total","Number","254296"
"Debit Card Transactions - ATM Withdrawals","2020 October 07","Daily total","Number","221014"
"Debit Card Transactions - ATM Withdrawals","2020 October 08","Daily total","Number","294914"
"Debit Card Transactions - ATM Withdrawals","2020 October 09","Daily total","Number","346596"
"Debit Card Transactions - ATM Withdrawals","2020 October 10","Daily total","Number","252594"
"Debit Card Transactions - ATM Withdrawals","2020 October 11","Daily total","Number","148736"
"Debit Card Transactions - ATM Withdrawals","2020 October 12","Daily total","Number","176046"
"Debit Card Transactions - ATM Withdrawals","2020 October 13","Daily total","Number","217927"
"Debit Card Transactions - ATM Withdrawals","2020 October 14","Daily total","Number","203927"
"Debit Card Transactions - ATM Withdrawals","2020 October 15","Daily total","Number","290341"
"Debit Card Transactions - ATM Withdrawals","2020 October 16","Daily total","Number","331565"
"Debit Card Transactions - ATM Withdrawals","2020 October 17","Daily total","Number","248999"
"Debit Card Transactions - ATM Withdrawals","2020 October 18","Daily total","Number","146703"
"Debit Card Transactions - ATM Withdrawals","2020 October 19","Daily total","Number","174901"
"Debit Card Transactions - ATM Withdrawals","2020 October 20","Daily total","Number","249910"
"Debit Card Transactions - ATM Withdrawals","2020 October 21","Daily total","Number","266824"
"Debit Card Transactions - ATM Withdrawals","2020 October 22","Daily total","Number","250809"
"Debit Card Transactions - ATM Withdrawals","2020 October 23","Daily total","Number","300509"
"Debit Card Transactions - ATM Withdrawals","2020 October 24","Daily total","Number","196583"
"Debit Card Transactions - ATM Withdrawals","2020 October 25","Daily total","Number","118341"
"Debit Card Transactions - ATM Withdrawals","2020 October 26","Daily total","Number","126264"
"Debit Card Transactions - ATM Withdrawals","2020 October 27","Daily total","Number","173090"
"Debit Card Transactions - ATM Withdrawals","2020 October 28","Daily total","Number","183696"
"Debit Card Transactions - ATM Withdrawals","2020 October 29","Daily total","Number","243152"
"Debit Card Transactions - ATM Withdrawals","2020 October 30","Daily total","Number","312490"
"Debit Card Transactions - ATM Withdrawals","2020 October 31","Daily total","Number","202338"
"Debit Card Transactions - ATM Withdrawals","2020 November 01","Daily total","Number","118734"
"Debit Card Transactions - ATM Withdrawals","2020 November 02","Daily total","Number","159967"
"Debit Card Transactions - ATM Withdrawals","2020 November 03","Daily total","Number","219667"
"Debit Card Transactions - ATM Withdrawals","2020 November 04","Daily total","Number","199183"
"Debit Card Transactions - ATM Withdrawals","2020 November 05","Daily total","Number","260967"
"Debit Card Transactions - ATM Withdrawals","2020 November 06","Daily total","Number","308047"
"Debit Card Transactions - ATM Withdrawals","2020 November 07","Daily total","Number","206684"
"Debit Card Transactions - ATM Withdrawals","2020 November 08","Daily total","Number","125764"
"Debit Card Transactions - ATM Withdrawals","2020 November 09","Daily total","Number","156057"
"Debit Card Transactions - ATM Withdrawals","2020 November 10","Daily total","Number","196919"
"Debit Card Transactions - ATM Withdrawals","2020 November 11","Daily total","Number","174366"
"Debit Card Transactions - ATM Withdrawals","2020 November 12","Daily total","Number","260809"
"Debit Card Transactions - ATM Withdrawals","2020 November 13","Daily total","Number","307456"
"Debit Card Transactions - ATM Withdrawals","2020 November 14","Daily total","Number","198653"
"Debit Card Transactions - ATM Withdrawals","2020 November 15","Daily total","Number","122256"
"Debit Card Transactions - ATM Withdrawals","2020 November 16","Daily total","Number","151498"
"Debit Card Transactions - ATM Withdrawals","2020 November 17","Daily total","Number","199250"
"Debit Card Transactions - ATM Withdrawals","2020 November 18","Daily total","Number","188252"
"Debit Card Transactions - ATM Withdrawals","2020 November 19","Daily total","Number","259081"
"Debit Card Transactions - ATM Withdrawals","2020 November 20","Daily total","Number","305246"
"Debit Card Transactions - ATM Withdrawals","2020 November 21","Daily total","Number","206985"
"Debit Card Transactions - ATM Withdrawals","2020 November 22","Daily total","Number","125759"
"Debit Card Transactions - ATM Withdrawals","2020 November 23","Daily total","Number","156076"
"Debit Card Transactions - ATM Withdrawals","2020 November 24","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 November 25","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 November 26","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 November 27","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 November 28","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 November 29","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 November 30","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 01","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 02","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 03","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 04","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 05","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 06","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 07","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 08","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 09","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 10","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 11","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 12","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 13","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 14","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 15","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 16","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 17","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 18","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 19","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 20","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 21","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 22","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 23","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 24","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 25","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 26","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 27","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 28","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 29","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 30","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2020 December 31","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 01","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 02","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 03","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 04","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 05","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 06","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 07","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 08","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 09","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 10","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 11","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 12","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 13","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 14","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 15","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 16","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 17","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 18","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 19","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 20","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 21","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 22","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 23","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 24","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 25","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 26","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 27","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 28","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 29","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 30","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 January 31","Daily total","Number","0"
"Debit Card Transactions - ATM Withdrawals","2021 February 01","Daily total","Number","0"
