"Statistic Label","Daily","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"Debit Card Transactions - Total","2020 June 01","Daily total","Number","2747314"
"Debit Card Transactions - Total","2020 June 02","Daily total","Number","3446942"
"Debit Card Transactions - Total","2020 June 03","Daily total","Number","3249340"
"Debit Card Transactions - Total","2020 June 04","Daily total","Number","3453979"
"Debit Card Transactions - Total","2020 June 05","Daily total","Number","3742494"
"Debit Card Transactions - Total","2020 June 06","Daily total","Number","3337708"
"Debit Card Transactions - Total","2020 June 07","Daily total","Number","2526407"
"Debit Card Transactions - Total","2020 June 08","Daily total","Number","3036713"
"Debit Card Transactions - Total","2020 June 09","Daily total","Number","3259937"
"Debit Card Transactions - Total","2020 June 10","Daily total","Number","3307161"
"Debit Card Transactions - Total","2020 June 11","Daily total","Number","3549941"
"Debit Card Transactions - Total","2020 June 12","Daily total","Number","3896491"
"Debit Card Transactions - Total","2020 June 13","Daily total","Number","3627229"
"Debit Card Transactions - Total","2020 June 14","Daily total","Number","2702527"
"Debit Card Transactions - Total","2020 June 15","Daily total","Number","3167153"
"Debit Card Transactions - Total","2020 June 16","Daily total","Number","3407275"
"Debit Card Transactions - Total","2020 June 17","Daily total","Number","3498513"
"Debit Card Transactions - Total","2020 June 18","Daily total","Number","3771707"
"Debit Card Transactions - Total","2020 June 19","Daily total","Number","4089847"
"Debit Card Transactions - Total","2020 June 20","Daily total","Number","3839012"
"Debit Card Transactions - Total","2020 June 21","Daily total","Number","2771765"
"Debit Card Transactions - Total","2020 June 22","Daily total","Number","3025690"
"Debit Card Transactions - Total","2020 June 23","Daily total","Number","3497177"
"Debit Card Transactions - Total","2020 June 24","Daily total","Number","3425522"
"Debit Card Transactions - Total","2020 June 25","Daily total","Number","3892921"
"Debit Card Transactions - Total","2020 June 26","Daily total","Number","4273692"
"Debit Card Transactions - Total","2020 June 27","Daily total","Number","3855102"
"Debit Card Transactions - Total","2020 June 28","Daily total","Number","2864852"
"Debit Card Transactions - Total","2020 June 29","Daily total","Number","3365448"
"Debit Card Transactions - Total","2020 June 30","Daily total","Number","3713676"
"Debit Card Transactions - Total","2020 July 01","Daily total","Number","3787980"
"Debit Card Transactions - Total","2020 July 02","Daily total","Number","3999818"
"Debit Card Transactions - Total","2020 July 03","Daily total","Number","4360822"
"Debit Card Transactions - Total","2020 July 04","Daily total","Number","4013097"
"Debit Card Transactions - Total","2020 July 05","Daily total","Number","2960445"
"Debit Card Transactions - Total","2020 July 06","Daily total","Number","3370867"
"Debit Card Transactions - Total","2020 July 07","Daily total","Number","3649002"
"Debit Card Transactions - Total","2020 July 08","Daily total","Number","3600463"
"Debit Card Transactions - Total","2020 July 09","Daily total","Number","3993494"
"Debit Card Transactions - Total","2020 July 10","Daily total","Number","4355260"
"Debit Card Transactions - Total","2020 July 11","Daily total","Number","4114386"
"Debit Card Transactions - Total","2020 July 12","Daily total","Number","3016491"
"Debit Card Transactions - Total","2020 July 13","Daily total","Number","3391794"
"Debit Card Transactions - Total","2020 July 14","Daily total","Number","3515224"
"Debit Card Transactions - Total","2020 July 15","Daily total","Number","3671721"
"Debit Card Transactions - Total","2020 July 16","Daily total","Number","4020848"
"Debit Card Transactions - Total","2020 July 17","Daily total","Number","4363160"
"Debit Card Transactions - Total","2020 July 18","Daily total","Number","4073324"
"Debit Card Transactions - Total","2020 July 19","Daily total","Number","3055616"
"Debit Card Transactions - Total","2020 July 20","Daily total","Number","3390071"
"Debit Card Transactions - Total","2020 July 21","Daily total","Number","3616960"
"Debit Card Transactions - Total","2020 July 22","Daily total","Number","3610039"
"Debit Card Transactions - Total","2020 July 23","Daily total","Number","3980515"
"Debit Card Transactions - Total","2020 July 24","Daily total","Number","4407557"
"Debit Card Transactions - Total","2020 July 25","Daily total","Number","4094428"
"Debit Card Transactions - Total","2020 July 26","Daily total","Number","3091269"
"Debit Card Transactions - Total","2020 July 27","Daily total","Number","3459148"
"Debit Card Transactions - Total","2020 July 28","Daily total","Number","3653010"
"Debit Card Transactions - Total","2020 July 29","Daily total","Number","3709285"
"Debit Card Transactions - Total","2020 July 30","Daily total","Number","4199821"
"Debit Card Transactions - Total","2020 July 31","Daily total","Number","4539812"
"Debit Card Transactions - Total","2020 August 01","Daily total","Number","4284475"
"Debit Card Transactions - Total","2020 August 02","Daily total","Number","3157894"
"Debit Card Transactions - Total","2020 August 03","Daily total","Number","3119064"
"Debit Card Transactions - Total","2020 August 04","Daily total","Number","3832765"
"Debit Card Transactions - Total","2020 August 05","Daily total","Number","3716321"
"Debit Card Transactions - Total","2020 August 06","Daily total","Number","4102776"
"Debit Card Transactions - Total","2020 August 07","Daily total","Number","4442956"
"Debit Card Transactions - Total","2020 August 08","Daily total","Number","4075184"
"Debit Card Transactions - Total","2020 August 09","Daily total","Number","3075628"
"Debit Card Transactions - Total","2020 August 10","Daily total","Number","3450003"
"Debit Card Transactions - Total","2020 August 11","Daily total","Number","3650033"
"Debit Card Transactions - Total","2020 August 12","Daily total","Number","3744047"
"Debit Card Transactions - Total","2020 August 13","Daily total","Number","4073673"
"Debit Card Transactions - Total","2020 August 14","Daily total","Number","4519823"
"Debit Card Transactions - Total","2020 August 15","Daily total","Number","4099733"
"Debit Card Transactions - Total","2020 August 16","Daily total","Number","3075050"
"Debit Card Transactions - Total","2020 August 17","Daily total","Number","3391218"
"Debit Card Transactions - Total","2020 August 18","Daily total","Number","3583106"
"Debit Card Transactions - Total","2020 August 19","Daily total","Number","3502201"
"Debit Card Transactions - Total","2020 August 20","Daily total","Number","3882742"
"Debit Card Transactions - Total","2020 August 21","Daily total","Number","4374760"
"Debit Card Transactions - Total","2020 August 22","Daily total","Number","4100532"
"Debit Card Transactions - Total","2020 August 23","Daily total","Number","3099627"
"Debit Card Transactions - Total","2020 August 24","Daily total","Number","3452854"
"Debit Card Transactions - Total","2020 August 25","Daily total","Number","3538046"
"Debit Card Transactions - Total","2020 August 26","Daily total","Number","3742717"
"Debit Card Transactions - Total","2020 August 27","Daily total","Number","4148810"
"Debit Card Transactions - Total","2020 August 28","Daily total","Number","4536032"
"Debit Card Transactions - Total","2020 August 29","Daily total","Number","4386985"
"Debit Card Transactions - Total","2020 August 30","Daily total","Number","3293872"
"Debit Card Transactions - Total","2020 August 31","Daily total","Number","3589183"
"Debit Card Transactions - Total","2020 September 01","Daily total","Number","3953429"
"Debit Card Transactions - Total","2020 September 02","Daily total","Number","3665719"
"Debit Card Transactions - Total","2020 September 03","Daily total","Number","4097366"
"Debit Card Transactions - Total","2020 September 04","Daily total","Number","4474808"
"Debit Card Transactions - Total","2020 September 05","Daily total","Number","4290637"
"Debit Card Transactions - Total","2020 September 06","Daily total","Number","3224552"
"Debit Card Transactions - Total","2020 September 07","Daily total","Number","3396971"
"Debit Card Transactions - Total","2020 September 08","Daily total","Number","3464862"
"Debit Card Transactions - Total","2020 September 09","Daily total","Number","3635500"
"Debit Card Transactions - Total","2020 September 10","Daily total","Number","4032560"
"Debit Card Transactions - Total","2020 September 11","Daily total","Number","4466199"
"Debit Card Transactions - Total","2020 September 12","Daily total","Number","4257099"
"Debit Card Transactions - Total","2020 September 13","Daily total","Number","3180295"
"Debit Card Transactions - Total","2020 September 14","Daily total","Number","3370134"
"Debit Card Transactions - Total","2020 September 15","Daily total","Number","3495020"
"Debit Card Transactions - Total","2020 September 16","Daily total","Number","3531312"
"Debit Card Transactions - Total","2020 September 17","Daily total","Number","4027849"
"Debit Card Transactions - Total","2020 September 18","Daily total","Number","4423624"
"Debit Card Transactions - Total","2020 September 19","Daily total","Number","4143143"
"Debit Card Transactions - Total","2020 September 20","Daily total","Number","3127977"
"Debit Card Transactions - Total","2020 September 21","Daily total","Number","3340200"
"Debit Card Transactions - Total","2020 September 22","Daily total","Number","3372299"
"Debit Card Transactions - Total","2020 September 23","Daily total","Number","3557185"
"Debit Card Transactions - Total","2020 September 24","Daily total","Number","4016760"
"Debit Card Transactions - Total","2020 September 25","Daily total","Number","4642756"
"Debit Card Transactions - Total","2020 September 26","Daily total","Number","4315734"
"Debit Card Transactions - Total","2020 September 27","Daily total","Number","3200536"
"Debit Card Transactions - Total","2020 September 28","Daily total","Number","3419568"
"Debit Card Transactions - Total","2020 September 29","Daily total","Number","3453633"
