Month,2015,2016,2017,2018,2019,2020,2021
Jan,247,247,252,254,254,257,283
Feb,248,247,253,256,256,270,286
Mar,258,249,256,260,259,289,290
Apr,253,253,260,260,260,305,294
May,248,258,267,268,265,319,291
Jun,253,251,259,279,260,298,297
Jul,239,246,255,246,261,280,287
Aug,243,247,250,242,252,279,273
Sep,242,247,254,248,255,280,271
Oct,241,248,255,247,250,279,263
Nov,241,246,254,247,251,280,262
Dec,246,253,261,255,258,277,266
