County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Carlow,354,353,355,357,364,361,366,351,356,354,350,353
Cavan,303,305,310,313,324,319,319,310,307,305,305,309
Clare,306,308,301,307,313,321,339,326,313,308,308,307
Cork,366,366,363,362,369,363,369,358,362,353,352,354
Donegal,306,304,299,310,302,303,320,319,310,304,302,308
Dublin,346,349,351,349,358,352,353,342,350,343,344,350
Galway,392,394,392,391,398,391,397,380,382,375,378,381
Kerry,384,377,382,386,390,394,408,391,373,366,363,372
Kildare,353,356,357,357,362,356,359,344,349,343,344,351
Kilkenny,349,346,346,346,352,352,367,354,353,353,362,371
Laois,408,408,405,400,403,399,404,395,394,394,402,407
Leitrim,343,361,353,360,364,353,370,360,348,337,342,352
Limerick,353,354,353,352,357,354,355,339,347,344,345,352
Longford,384,379,374,370,378,375,386,372,375,372,371,385
Louth,360,360,358,361,368,367,373,371,368,361,359,362
Mayo,330,333,331,335,337,338,347,345,337,330,329,338
Meath,371,372,374,374,379,374,375,364,365,363,368,377
Monaghan,319,327,332,334,330,328,330,324,321,318,323,334
Offaly,410,413,410,404,411,407,416,394,394,394,401,410
Roscommon,416,413,400,389,396,392,403,387,381,377,383,391
Sligo,318,325,328,337,343,336,347,342,343,333,324,324
Tipperary,394,397,394,393,405,406,417,399,400,394,398,403
Waterford,329,332,328,331,341,333,351,340,325,315,315,326
Westmeath,391,393,387,388,397,389,392,381,384,385,387,384
Wexford,317,313,308,311,318,317,340,325,314,309,307,315
Wicklow,344,346,342,335,346,338,349,335,336,329,335,339
