County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Carlow,348,349,357,358,365,367,362,351,358,358,361,371
Cavan,290,298,300,302,311,301,290,294,294,295,295,304
Clare,318,318,322,332,343,344,346,349,337,331,327,332
Cork,365,367,370,378,385,383,384,375,378,378,381,392
Donegal,294,296,306,315,321,317,328,326,312,309,303,313
Dublin,345,346,350,356,372,360,352,348,354,354,353,361
Galway,375,376,381,385,397,384,386,387,395,395,386,389
Kerry,356,356,362,375,377,379,388,388,376,371,372,383
Kildare,346,347,351,354,366,368,348,343,350,351,351,359
Kilkenny,340,342,346,355,358,361,361,358,354,354,356,359
Laois,400,407,415,416,417,416,414,408,409,402,402,415
Leitrim,308,318,323,332,332,331,332,320,312,315,314,328
Limerick,329,334,339,339,350,338,332,335,360,359,359,371
Longford,371,357,361,372,376,364,361,365,365,364,374,396
Louth,354,355,356,370,386,383,374,380,374,372,372,378
Mayo,319,315,323,326,335,328,336,336,328,327,327,335
Meath,358,358,360,366,380,369,352,356,362,363,366,377
Monaghan,282,294,297,301,314,309,301,312,308,303,302,315
Offaly,410,414,417,421,430,425,426,418,421,415,413,420
Roscommon,370,371,374,385,391,375,389,378,374,376,378,394
Sligo,314,314,317,322,330,324,332,332,325,321,316,325
Tipperary,371,373,378,385,394,395,394,394,396,387,386,391
Waterford,336,339,342,351,354,356,365,360,347,345,344,353
Westmeath,385,379,379,380,396,385,383,378,387,386,384,394
Wexford,311,311,318,328,332,335,343,334,319,320,320,333
Wicklow,347,348,353,356,366,363,366,354,353,352,352,364
