County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Carlow,376,383,382,380,384,393,393,367,368,358,360,360
Cavan,338,346,346,350,353,361,370,343,345,336,334,344
Clare,338,343,342,341,341,346,353,354,329,317,314,321
Cork,378,376,378,380,381,390,395,370,369,357,353,355
Donegal,325,333,329,324,331,338,349,354,321,320,318,323
Dublin,379,379,385,393,391,400,374,359,366,356,359,361
Galway,408,414,416,416,412,414,416,407,394,386,387,388
Kerry,381,385,375,379,382,389,400,412,381,372,366,372
Kildare,383,378,389,392,384,402,394,361,371,357,356,363
Kilkenny,379,382,383,385,391,400,395,393,374,355,344,353
Laois,439,426,437,451,421,450,447,410,421,407,403,413
Leitrim,395,377,363,365,378,392,410,392,375,370,385,397
Limerick,375,373,383,385,371,385,376,351,362,350,347,349
Longford,423,417,415,429,430,447,443,457,442,434,413,416
Louth,377,384,380,378,384,384,376,383,360,354,346,350
Mayo,360,352,356,362,357,368,376,351,353,340,340,345
Meath,408,415,410,415,421,427,406,412,397,388,387,395
Monaghan,356,347,350,357,354,360,367,344,344,339,341,343
Offaly,431,419,432,437,424,445,450,407,413,404,407,419
Roscommon,414,412,462,419,416,427,439,411,408,395,391,398
Sligo,351,338,340,342,344,344,354,349,329,319,313,317
Tipperary,406,408,409,414,408,426,424,394,389,379,381,383
Waterford,359,366,365,367,369,380,387,367,355,353,332,337
Westmeath,419,424,415,411,423,422,417,412,400,391,393,397
Wexford,330,334,337,344,350,364,361,365,329,316,308,312
Wicklow,365,358,386,405,360,383,370,335,348,335,336,342
