County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Carlow,348,359,375,392,409,386,370,370,364,363,368,366
Cavan,316,325,336,348,366,355,333,336,331,328,331,329
Clare,317,322,335,347,375,360,354,360,345,330,334,337
Cork,355,367,378,390,402,395,380,378,376,370,374,370
Donegal,305,319,328,345,365,345,344,354,337,321,322,319
Dublin,347,359,384,410,433,402,372,373,381,375,376,376
Galway,378,388,406,430,437,421,402,400,397,394,393,410
Kerry,374,384,386,388,418,396,400,408,394,383,385,380
Kildare,355,354,383,406,433,396,368,371,373,369,371,370
Kilkenny,358,361,386,406,429,408,389,379,372,366,368,371
Laois,406,405,427,450,472,445,423,424,426,420,424,424
Leitrim,346,349,356,371,392,359,346,361,352,356,366,368
Limerick,349,355,377,392,408,385,358,357,362,362,364,364
Longford,388,394,413,430,446,429,423,430,432,421,408,415
Louth,362,371,395,407,423,406,389,385,381,375,372,370
Mayo,338,337,358,374,382,370,361,362,351,348,347,350
Meath,380,392,416,428,453,422,402,395,401,400,400,402
Monaghan,334,343,353,365,372,362,348,349,340,337,344,346
Offaly,410,400,424,448,466,437,409,411,405,402,402,407
Roscommon,390,398,413,443,461,424,400,404,396,392,396,404
Sligo,312,323,351,364,377,353,358,359,343,339,339,356
Tipperary,398,397,410,426,441,418,400,394,387,379,383,382
Waterford,325,333,359,379,392,375,366,367,357,346,344,348
Westmeath,390,409,418,426,464,440,418,421,413,406,403,407
Wexford,317,328,339,350,379,357,351,346,327,325,324,327
Wicklow,338,338,371,402,428,378,357,357,360,356,357,359
