County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Carlow,349,354,360,369,366,353,350,347,343,343,345,350
Cavan,287,291,294,296,311,301,299,304,300,299,293,298
Clare,321,320,323,332,331,334,328,335,321,316,315,319
Cork,382,376,372,376,380,380,369,372,365,365,360,367
Donegal,299,298,300,299,303,302,307,307,298,293,294,303
Dublin,371,367,360,365,370,357,356,357,348,355,340,349
Galway,388,387,384,380,392,386,380,376,378,376,372,371
Kerry,359,355,356,358,351,357,361,370,352,349,345,352
Kildare,350,350,348,347,356,349,361,341,337,363,337,344
Kilkenny,338,332,333,335,341,348,348,352,338,337,331,347
Laois,382,380,379,379,389,383,380,381,379,379,384,393
Leitrim,304,321,325,327,333,319,310,315,299,294,297,311
Limerick,330,333,329,336,338,336,323,329,335,333,327,332
Longford,415,403,403,398,396,387,378,373,376,376,367,382
Louth,354,349,349,353,363,354,353,351,346,346,345,352
Mayo,312,311,309,306,314,316,311,319,307,316,315,322
Meath,358,356,359,362,364,352,345,346,344,346,343,354
Monaghan,299,309,311,317,321,306,291,300,297,301,300,301
Offaly,408,407,409,399,405,400,386,391,388,390,391,405
Roscommon,352,350,364,352,365,362,357,353,342,353,354,362
Sligo,312,316,318,328,329,324,324,329,317,320,311,323
Tipperary,362,359,362,362,362,366,361,365,359,361,367,374
Waterford,348,347,344,341,347,343,343,349,326,327,327,337
Westmeath,369,374,371,375,383,383,379,375,371,373,372,382
Wexford,306,306,311,309,310,314,324,325,303,300,300,306
Wicklow,347,343,346,346,356,345,342,348,335,335,345,346
